,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,vicinity
10,"{'location': {'lat': 41.4106677, 'lng': 2.1741804}, 'viewport': {'northeast': {'lat': 41.4120167302915, 'lng': 2.175576880291502}, 'southwest': {'lat': 41.4093187697085, 'lng': 2.172878919708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,954296f4fda68f3482f67b7dc64f2d37b28a5e13,Restaurante Vianda,,,ChIJR412VsWipBIR-hkbWRDB1UE,"{'compound_code': 'C56F+7M Barcelona, Spain', 'global_code': '8FH4C56F+7M'}",,4.0,ChIJR412VsWipBIR-hkbWRDB1UE,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 85, Barcelona"
11,"{'location': {'lat': 41.4102365, 'lng': 2.1745059}, 'viewport': {'northeast': {'lat': 41.4115846302915, 'lng': 2.175820530291502}, 'southwest': {'lat': 41.4088866697085, 'lng': 2.173122569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,a44986cf8da2b9da24097ba87590fb4ad6bae0e0,Avinguda Gaudi Barcelonastuff Apartments,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113376982393271559150/photos"">Ana Pereira</a>'], 'photo_reference': 'CmRaAAAAbRrkXk4BjuGYeJvQmWkaTYvTNETa1SMliD4DI5ardzJhWq8R8JXfZ8aholZP8_aSvEdCsH1fhhVqiJ8iTjtsAmkexcoz0oNRhR5WXded3JpZKid0N83BlRtOSxq1QHl3EhA5BwnU5ocH6BZ4kDh7vL9IGhQjYvc9rdvGWj7xaCjW9M4suSPWOw', 'width': 2322}]",ChIJ92IzrdqipBIR017NTTTqN60,"{'compound_code': 'C56F+3R Barcelona, Spain', 'global_code': '8FH4C56F+3R'}",,4.4,ChIJ92IzrdqipBIR017NTTTqN60,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 66, Barcelona"
12,"{'location': {'lat': 41.4096573, 'lng': 2.1741593}, 'viewport': {'northeast': {'lat': 41.4110247802915, 'lng': 2.175533880291501}, 'southwest': {'lat': 41.4083268197085, 'lng': 2.172835919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,2342ec76169a86dc565717c839c58ef7ceb61350,Bodega Celler Miquel,{'open_now': True},"[{'height': 496, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108629045450189240780/photos"">Bodega Celler Miquel</a>'], 'photo_reference': 'CmRaAAAAtwDjMDOyVL8JBvlPEE57YNKAdppuwFQg_yQxw7CO1f_63ihh-4ILCNTBZw1r_7KYuE_LlDkpG124KM18VPrAeL1KH8oqrLFmqjjXFuDalhCOd5W3EGn-gLRxLOVtI59qEhDxzsI0PJnvt69MRwMpi3h1GhSbjC14f0lzc85cko9wHNH1QylKXA', 'width': 750}]",ChIJlaluRMWipBIRKgN_knFZTCU,"{'compound_code': 'C55F+VM Barcelona, Spain', 'global_code': '8FH4C55F+VM'}",,4.3,ChIJlaluRMWipBIRKgN_knFZTCU,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Carrer de los Castillejos, 345, Barcelona"
13,"{'location': {'lat': 41.4102365, 'lng': 2.1745059}, 'viewport': {'northeast': {'lat': 41.4115846302915, 'lng': 2.175820530291502}, 'southwest': {'lat': 41.4088866697085, 'lng': 2.173122569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,9b5e7c1dded1c54336b56eeae2f884e11dca209e,CAPUCCINO,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109323987708759569836/photos"">CAPUCCINO</a>'], 'photo_reference': 'CmRaAAAARw4Nrc56ul8kpy4s6hx8w3kZ-hwmb8YnhsPXtsrpze8sHIoGG1HKbNggjzfuRGmOBXlGUu1n1Sio2_unojRPDUkxLOGZxUkUFHz4xOGsBeQcMjemK9gnwbstHRkjb_xSEhC3wWhLrANs1gLl43JcW2Y0GhRO4i1v8pN2fviNE4nwe2PJFeZClg', 'width': 1800}]",ChIJ92IzrdqipBIRxQbrPa9tNDI,"{'compound_code': 'C56F+3R Barcelona, Spain', 'global_code': '8FH4C56F+3R'}",,4.1,ChIJ92IzrdqipBIRxQbrPa9tNDI,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 66, Barcelona"
14,"{'location': {'lat': 41.4102365, 'lng': 2.1745059}, 'viewport': {'northeast': {'lat': 41.4115846302915, 'lng': 2.175820530291502}, 'southwest': {'lat': 41.4088866697085, 'lng': 2.173122569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,03fca322505f4230cc3e6e3fdb014993d2adf64f,Restaurant Carta Capucchino,,,ChIJjWLANYCjpBIR9duBHyMFyOA,"{'compound_code': 'C56F+3R Barcelona, Spain', 'global_code': '8FH4C56F+3R'}",,,ChIJjWLANYCjpBIR9duBHyMFyOA,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 66, Barcelona"
15,"{'location': {'lat': 41.4103408, 'lng': 2.1745025}, 'viewport': {'northeast': {'lat': 41.4116888802915, 'lng': 2.175815830291502}, 'southwest': {'lat': 41.4089909197085, 'lng': 2.173117869708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,6845400b9e43a66431bd2122f80883c05e8ae367,Free Fresh,,,ChIJEzvNrNqipBIRZVOA1DUTURk,"{'compound_code': 'C56F+4R Barcelona, Spain', 'global_code': '8FH4C56F+4R'}",,,ChIJEzvNrNqipBIRZVOA1DUTURk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 68, Barcelona"
16,"{'location': {'lat': 41.41013989999999, 'lng': 2.1745095}, 'viewport': {'northeast': {'lat': 41.4114880302915, 'lng': 2.175824880291502}, 'southwest': {'lat': 41.4087900697085, 'lng': 2.173126919708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,8f1ef177a7975b25c927d985976e451b70d1f5be,Polent One,,"[{'height': 3092, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109220136683378912645/photos"">Fermí Arimany</a>'], 'photo_reference': 'CmRaAAAA-96WxZaAMGnuRnd0786HHpsRjgzPG1nXshhnGdXiUiIDw7emCAlj4mtQRXzsF9K1SZrQkCw0RloQQ4MNAnperYczhhNaWVJWZ9Fz6ur0eVUlrKLLemlx0asILTBdc7Z9EhAvml6ZLVnlhFQmLAcHcCnKGhTgdGpJ768kS-ZTOjeinIPV4WumEA', 'width': 2317}]",ChIJs4NVrdqipBIRFhYnqcw2ehE,"{'compound_code': 'C56F+3R Barcelona, Spain', 'global_code': '8FH4C56F+3R'}",,,ChIJs4NVrdqipBIRFhYnqcw2ehE,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 64, Barcelona"
17,"{'location': {'lat': 41.41013989999999, 'lng': 2.1745095}, 'viewport': {'northeast': {'lat': 41.4114880302915, 'lng': 2.175824880291502}, 'southwest': {'lat': 41.4087900697085, 'lng': 2.173126919708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,f7721f036b48f1b9fa6ae1323c5762b84b62514b,Polentone,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111560452835833490678/photos"">Emprendedor ypunto</a>'], 'photo_reference': 'CmRaAAAAao_V-pGuTR4KoRVDem5DMGxs6ZitxMRQPCu0Pc8jRTTx3Cmw3Bd7f9AwHeXLTCHsYoH0k_mo3nl8cRQCaRn587Jc_G7Y4kwmUualInSVgS5e7CIj-m2Blo-rsz5ve7zwEhAEQ_WFpjWAsytBUsXXPqkxGhQYjwvqhlq_CrAJgDr-6KFjUSQwZg', 'width': 4032}]",ChIJs4NVrdqipBIRH60aEFC2pqc,,1.0,4.2,ChIJs4NVrdqipBIRH60aEFC2pqc,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 64, Barcelona"
18,"{'location': {'lat': 41.4104799, 'lng': 2.174500000000001}, 'viewport': {'northeast': {'lat': 41.4118278302915, 'lng': 2.175809630291501}, 'southwest': {'lat': 41.4091298697085, 'lng': 2.173111669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,873caf71dc390e5d8cb02038ba54b4a95dc07eda,서울정,,,ChIJR7kmv9ujpBIR44Ys1rfjdlY,"{'compound_code': 'C56F+5Q Barcelona, Spain', 'global_code': '8FH4C56F+5Q'}",,,ChIJR7kmv9ujpBIR44Ys1rfjdlY,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","70, Avinguda de Gaudí, Barcelona"
19,"{'location': {'lat': 41.41048, 'lng': 2.1745}, 'viewport': {'northeast': {'lat': 41.4118279802915, 'lng': 2.175809630291501}, 'southwest': {'lat': 41.4091300197085, 'lng': 2.173111669708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,7b6f0991d473a6daaa0b3663dedf20bced8697d6,한식당,,,ChIJUypTq9qipBIR3x5uheu2T90,"{'compound_code': 'C56F+5Q Barcelona, Spain', 'global_code': '8FH4C56F+5Q'}",,5.0,ChIJUypTq9qipBIR3x5uheu2T90,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Avinguda de Gaudí, 70, Barcelona"
